project,experiment,iteration,stim_id,gameID,condition,study_phase,trialNum,stimuli_set,author_name,collection_name,level_name,width,height,layout,boxes,start_position.x,start_position.y,select_response,select_rt,rate_response,rate_rt,solveDuration,solved,boxesSolved,attempt_nInputEvents,attempt_nMovesAttempted,attempt_nMoved,attempt_nPushed,attempt_nRestart,attempt_nUndo
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f6a7,7311-a30685b7-505c-4139-9434-cff4b405d7c3,enjoyable,test,4,A,jacques-duthen,Sokogen-990602-Levels,18,7.0,7.0,"['#######', '#  ####', '#   ###', '#$ $@##', '#. #$ #', '#  . .#', '#######']","[{'x': 1, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}, {'x': 4, 'y': 4, 'state': '$'}]",4.0,3.0,3.0,10112.400000572205,1.0,977.0,,0,2,339,324,278,79,15,0
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6ca,2485-47f57e30-a80b-4dbd-a9e6-6b306a349c3f,enjoyable,test,1,B,jacques-duthen,Sokogen-990602-Levels,19,6.0,6.0,"['######', '#@  .#', '#$$$ #', '#. # #', '#  . #', '######']","[{'x': 1, 'y': 2, 'state': '$'}, {'x': 2, 'y': 2, 'state': '$'}, {'x': 3, 'y': 2, 'state': '$'}]",1.0,1.0,1.0,1124.4000000059605,1.0,2218.0,,0,2,368,360,312,48,8,0
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f6a9,6597-33a376ae-5d1a-49f3-905e-aa8bc37c24cd,enjoyable,test,3,A,jacques-duthen,Sokogen-990602-Levels,18,7.0,7.0,"['#######', '#  ####', '#   ###', '#$ $@##', '#. #$ #', '#  . .#', '#######']","[{'x': 1, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}, {'x': 4, 'y': 4, 'state': '$'}]",4.0,3.0,3.0,7050.799999952316,7.0,15576.0,,0,2,137,119,100,27,2,16
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f6a8,3923-9e1c2464-4cd8-4845-a0d6-2816d7461393,enjoyable,test,3,A,jacques-duthen,Sokogen-990602-Levels,32,7.0,7.0,"['#######', '##   ##', '## #.##', '#  $.##', '# # $ #', '#  * @#', '#######']","[{'x': 3, 'y': 3, 'state': '$'}, {'x': 4, 'y': 4, 'state': '$'}, {'x': 3, 'y': 5, 'state': '*'}]",5.0,5.0,2.0,1873.8999999761581,2.0,3183.0,,0,1,145,143,44,11,2,0
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6b8,8979-8f4a79ba-d6e6-4849-8b51-4a6c8dd83e79,difficult,test,8,B,david-w-skinner,Microban,48,8.0,8.0,"['######', '#  @ #', '#  # ##', '# .#  ##', '# .$$$ #', '# .#   #', '####   #', '   #####']","[{'x': 3, 'y': 4, 'state': '$'}, {'x': 4, 'y': 4, 'state': '$'}, {'x': 5, 'y': 4, 'state': '$'}]",3.0,1.0,6.0,1663.6000000014901,8.0,1055.0,200.0,1,3,279,242,236,36,5,32
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6b9,1064-892ec835-62f9-4338-82b9-5d4180f39f88,difficult,test,3,B,jacques-duthen,Sokogen-990602-Levels,17,7.0,7.0,"['#####', '#@  ###', '# $$$ #', '## ...#', '#   # #', '#     #', '#######']","[{'x': 2, 'y': 2, 'state': '$'}, {'x': 3, 'y': 2, 'state': '$'}, {'x': 4, 'y': 2, 'state': '$'}]",1.0,1.0,2.0,3255.399999976158,9.0,2415.0,,0,1,78,76,67,12,0,2
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f6a0,0885-9d54908b-0065-4c7a-a372-20b29af57ac5,enjoyable,test,4,A,david-w-skinner,Microban,104,9.0,9.0,"['    #####', '#####   #', '#    $  #', '#  $#$#@#', '### #   #', '  # ... #', '  ###  ##', '    #  #', '    ####']","[{'x': 5, 'y': 2, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}, {'x': 5, 'y': 3, 'state': '$'}]",7.0,3.0,4.0,4507.900000002235,4.0,1539.0,,0,2,236,221,204,34,1,14
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6af,3417-e2d71d57-a14e-4886-a011-78e7d5243b0a,enjoyable,test,5,A,jacques-duthen,Sokogen-990602-Levels,38,8.0,6.0,"['#####', '#. .####', '#$$    #', '#@$#   #', '# .    #', '########']","[{'x': 1, 'y': 2, 'state': '$'}, {'x': 2, 'y': 2, 'state': '$'}, {'x': 2, 'y': 3, 'state': '$'}]",1.0,3.0,5.0,1723.1000000014901,5.0,1592.0,221.0,1,3,298,255,230,60,5,38
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6b7,0064-edadbd5c-58c4-45a2-81fc-d8ae38231ce3,difficult,test,2,B,jacques-duthen,Sokogen-990602-Levels,17,7.0,7.0,"['#####', '#@  ###', '# $$$ #', '## ...#', '#   # #', '#     #', '#######']","[{'x': 2, 'y': 2, 'state': '$'}, {'x': 3, 'y': 2, 'state': '$'}, {'x': 4, 'y': 2, 'state': '$'}]",1.0,1.0,2.0,2683.600000000559,5.0,2019.0,171.0,1,3,212,180,173,29,1,31
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6bd,4047-e32140a3-3b28-4f2b-9ba3-c2a1e9327ec6,difficult,test,3,B,david-w-skinner,Microban,33,7.0,7.0,"['#######', '#. #  #', '#  $  #', '#. $#@#', '#  $  #', '#. #  #', '#######']","[{'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}, {'x': 3, 'y': 4, 'state': '$'}]",5.0,3.0,0.0,5623.5,10.0,2628.0,,0,2,241,205,201,40,4,32
